Date, Open, High, Low, Close, Volume
02/01/21, 175.44, 179.68, 172.87, 176.83, 897126
01/29/21, 172.86, 178.45, 168.7287, 171.15, 559332
01/28/21, 168.03, 180.00, 166.48, 173.32, 584688
01/27/21, 170.02, 172.59, 161.13, 163.22, 725249
01/26/21, 182.99, 182.99, 171.50, 171.75, 776690
01/25/21, 188.67, 190.00, 179.10, 183.25, 443876
01/22/21, 185.30, 189.23, 183.38, 187.00, 571331
01/21/21, 183.63, 186.295, 178.20, 185.53, 701102
01/20/21, 183.83, 191.24, 178.00, 181.04, 776828
01/19/21, 177.95, 182.98, 174.08, 182.22, 998198
01/15/21, 181.17, 184.1689, 175.45, 179.67, 550774
01/14/21, 176.00, 184.13, 175.44, 179.89, 724189
01/13/21, 167.94, 178.40, 166.57, 175.52, 631151
01/12/21, 162.51, 168.55, 161.67, 167.69, 616342
01/11/21, 160.00, 170.89, 156.8001, 167.50, 868948
01/08/21, 161.00, 162.00, 154.06, 159.37, 1291051
01/07/21, 146.65, 158.99, 146.06, 158.79, 1710872
01/06/21, 142.03, 143.00, 137.771, 140.25, 2757888
01/05/21, 140.65, 142.05, 138.86, 141.65, 405200
01/04/21, 141.61, 142.93, 137.85, 140.56, 808891
12/31/20, 144.48, 145.72, 140.79, 141.60, 652831
12/30/20, 142.30, 145.24, 141.33, 142.61, 852967
12/29/20, 147.36, 149.98, 140.83, 142.19, 564104
12/28/20, 152.72, 153.05, 144.561, 147.03, 442951
12/24/20, 150.79, 152.70, 148.75, 151.33, 263565
12/23/20, 150.63, 150.67, 147.26, 148.95, 894858
12/22/20, 151.45, 152.20, 148.03, 149.64, 546345
12/21/20, 144.80, 152.075, 144.00, 149.91, 660312
12/18/20, 153.45, 162.77, 140.81, 152.90, 2433235
12/17/20, 150.15, 152.495, 148.87, 151.30, 410974
12/16/20, 151.45, 151.45, 145.52, 148.66, 437978
12/15/20, 152.93, 153.50, 148.64, 149.54, 624988
12/14/20, 148.61, 154.99, 148.61, 151.75, 766246
12/11/20, 148.64, 151.28, 145.98, 147.95, 405171
12/10/20, 143.35, 151.39, 143.12, 149.46, 545502
12/09/20, 152.77, 152.975, 141.58, 144.32, 1293025
12/08/20, 149.90, 155.165, 147.17, 154.76, 650417
12/07/20, 151.20, 154.12, 147.86, 148.78, 554179
12/04/20, 144.83, 149.49, 144.26, 149.04, 661534
12/03/20, 144.82, 148.51, 143.80, 145.22, 548591
12/02/20, 148.60, 148.60, 141.05, 144.81, 582183
